,date_registered,username,name,gender,address,email,birthdate,residence,employer,job,age,salary,credit_card_provider,credit_card_number,credit_card_security_code,credit_card_expire
5474,4515,hc***k,Joseph Davis,F,"925 35 Ave, 700-2752",be*******y@gmail.com,50610,"Philadelphia, OH",JJBGMP,CRXEOH,"(26,40)","(75,000,250000)",GUYUNS,18************2,###4,WXYXKQ
5881,4514,jo********e,Elizabeth Walker,M,"237 21 Ave, 500-6690",us*****t@hotmail.com,62711,"New York, PA",RDPKFS,YVTVFQ,"(41,60)","(75,000,250000)",MFZRLP,37************9,###2,RPPVSL
6055,4513,jo*******0,Amanda Allen,F,"872 25 Ln, 200-3663",mg***n@gmail.com,62686,"New York, GA",XRFGND,JMMPJT,"(19,25)","(75,000,250000)",GUYUNS,65*************0,###3,YVFFHF
6752,4512,st**********s,Robert Young,F,"166 52 St, 100-5446",fl*********s@yahoo.com,48684,"Dallas, GA",CTGIMR,FGSOWQ,"(26,40)","(50000,75000)",KCUOPI,34************8,##3,GDEGSO
7011,4511,pc*******r,Kevin Wilson,M,"779 44  Blvd, 800-1059",ri******6@hotmail.com,74132,"San Antonio, FL",UTNWKE,JULBZN,"(60,65)","(75,000,250000)",RCMTBS,30***********2,###1,CXMQCB
7755,4510,he****7,Robert Jones,F,"886 95 St, 200-9281",am*****8@gmail.com,74549,"San Antonio, TX",QXKIKI,TSUKIA,"(41,60)","(75,000,250000)",WFTMDV,48*************8,####7,PNTUOK
7916,4509,ja******g,Lisa Smith,F,"594 42 Rd, 800-4680",jo***8@hotmail.com,53156,"San Diego, OH",MDYZII,NKCFPO,"(41,60)","(75,000,250000)",MFZRLP,48*************4,##1,VSXFEL
9756,4508,hi******n,William Wilson,F,"101 13 St, 100-4580",sm*********l@hotmail.com,61936,"San Jose, IL",DSIWGN,PMQDLY,"(41,60)","(75,000,250000)",KVRJWO,34************5,###0,SYUICW
1447,4506,gm********y,Sarah Clark,F,"379 57 Rd, 100-5288",co***********k@gmail.com,78079,"San Diego, PA",EXJPTS,YVTVFQ,"(41,60)","(25000,50000)",YMXPWJ,22*************6,###8,GKYGYB
1919,4505,wi***********h,Lisa Garcia,F,"925 84 Ave, 100-3628",yf**d@gmail.com,56962,"Phoenix, NY",HGGEMG,NSEDZX,"(26,40)","(75,000,250000)",WFTMDV,35*************9,###8,VKCRSK
3740,4504,lu*********n,William King,F,"462 32 Ln, 800-3889",mo*****5@yahoo.com,74839,"Dallas, IL",FTAJPH,JIKUQG,"(41,60)","(75,000,250000)",MFZRLP,45*************5,###0,DKBYWT
4258,4503,ma***1,Lisa Williams,M,"976 95  Blvd, 400-3845",le*****n@gmail.com,46436,"Phoenix, GA",OHGHGW,TBWLKX,"(41,60)","(75,000,250000)",YMXPWJ,42*************1,###7,DCTOBI
6742,4502,ji******7,Ashley Moore,M,"690 15 St, 200-2314",ga************t@hotmail.com,44816,"Los Angeles, GA",SGVAVE,EJQYMR,"(26,40)","(75,000,250000)",MAOKIJ,49*************7,###1,FCMJOV
6998,4501,xc**k,Amanda Jones,F,"340 48 Ave, 100-6420",ma****6@hotmail.com,53358,"San Diego, NY",URFEEL,PJHXJY,"(41,60)","(75,000,250000)",GUYUNS,60*************9,###7,YCKNYU
7115,4500,me******7,Brian Young,F,"538 24  Blvd, 900-5703",br****8@hotmail.com,77953,"Chicago, NC",FUFTVR,SGQMQM,"(26,40)","(75,000,250000)",MAOKIJ,46*************1,###3,XTTCMN
9369,4499,gr******8,Michael Smith,F,"889 21 Rd, 900-5440",ma******5@gmail.com,73534,"Phoenix, GA",TDHUMD,YBJUSK,"(41,60)","(75,000,250000)",UEJEZN,21************8,###0,MMFSXS
9403,4498,dt******n,Michael Miller,F,"170 64 Ln, 500-2250",xs******n@hotmail.com,49322,"San Antonio, NY",HAYLRW,CSVHNO,"(41,60)","(25000,50000)",GUYUNS,35*************2,###8,EKPPNK
9561,4497,hb***r,Andrew Johnson,M,"966 60  Blvd, 500-4868",mc**********y@hotmail.com,54665,"New York, TX",DDOOTX,YJOQPZ,"(41,60)","(75,000,250000)",RCMTBS,37************5,##2,EFEUAT
9574,4496,mi*******9,Jennifer Moore,F,"255 40 Rd, 800-2682",am*********s@hotmail.com,62702,"San Diego, NC",TFCVXK,AXHDVJ,"(19,25)","(75,000,250000)",UEJEZN,46****************5,###7,VKCRSK
9599,4495,ea*******g,Jane Walker,M,"662 93 Ln, 300-6162",pc**n@yahoo.com,69242,"San Antonio, IL",SHUKQD,TSBUJC,"(41,60)","(75,000,250000)",WFTMDV,35*************1,###7,DKBYWT
546,4493,ni*******e,Andrew Allen,F,"685 65  Blvd, 900-5994",kb***k@yahoo.com,79688,"New York, GA",DLGLPF,GVYQFY,"(41,60)","(25000,50000)",MAOKIJ,35*************4,###5,PTCBHD
1478,4492,lp****e,Elizabeth Garcia,F,"559 79  Blvd, 200-9946",ws*****s@hotmail.com,51263,"Phoenix, PA",PMFFFW,KLYHGF,"(26,40)","(25000,50000)",KCUOPI,27*************6,###0,TJFCWY
2753,4491,he*********e,Emily Jones,M,"749 20 Ln, 800-3472",ju*******x@yahoo.com,45900,"San Diego, TX",JYKCKH,MXQYCV,"(19,25)","(75,000,250000)",KVRJWO,35*************2,###7,FDFBMG
3232,4490,rt****s,Sarah Davis,F,"546 90 Rd, 500-8715",na****8@hotmail.com,45728,"Philadelphia, NY",NPYDPD,QNDBDP,"(19,25)","(75,000,250000)",BWTPEW,50*********9,###5,ROCDYP
3609,4489,mi***********t,John Lewis,M,"936 19 Rd, 600-4916",pl***z@hotmail.com,59431,"Chicago, IL",IATZFZ,JMMPJT,"(19,25)","(75,000,250000)",GUYUNS,36***********8,###5,UKXNKX
4189,4488,br*******h,David Moore,F,"372 90  Blvd, 900-9080",ml*e@yahoo.com,60216,"Chicago, VA",CRTTFH,KGUUKM,"(41,60)","(75,000,250000)",MAOKIJ,41*************0,###9,MHWBWM
5497,4487,we*****s,David Young,M,"166 4 St, 900-9800",rf****r@yahoo.com,63157,"San Diego, PA",NAFPIS,ZXBRKG,"(60,65)","(75,000,250000)",MAOKIJ,36***********7,###9,WRDVMN
6219,4486,im********y,Emily Allen,M,"416 32 Ave, 300-3059",as*********n@hotmail.com,75929,"Chicago, NC",ENNHIO,ZXBRKG,"(26,40)","(75,000,250000)",GUYUNS,18************4,###7,UBXXEO
7247,4485,ka**********o,Andrew Davis,F,"820 16 Ave, 100-2649",bi********a@gmail.com,68453,"San Antonio, IL",WXYVRX,ZNVWTL,"(41,60)","(75,000,250000)",BWTPEW,35*************6,###2,OXQHXB
7384,4484,ky**********d,Michael Walker,F,"105 70 St, 600-2132",je**********n@yahoo.com,74607,"Houston, VA",MBBJHK,GRSUGK,"(19,25)","(75,000,250000)",RCMTBS,52*************7,###6,YCKNYU
7419,4483,cr**********e,Jane Williams,M,"288 40 Ln, 100-1225",sc************e@gmail.com,69877,"New York, VA",PXDPNF,VAEQGW,"(41,60)","(50000,75000)",WFTMDV,38***********1,###4,YWAPWM
7932,4482,kr*********n,Jane Davis,M,"639 88 Ave, 200-9368",wi***********n@yahoo.com,74894,"San Antonio, GA",FKFPOC,IKQYJF,"(41,60)","(75,000,250000)",GUYUNS,25*************3,###2,FOFKCQ
65,4480,li***0,Jennifer Lewis,F,"373 93 Ln, 500-9987",tp****e@yahoo.com,49506,"Chicago, OH",JSGHXC,XEGJPI,"(41,60)","(75,000,250000)",MFZRLP,34************8,####6,CIHWVB
1510,4479,mi*********n,Lisa Allen,M,"755 91 St, 100-7304",st******2@hotmail.com,60957,"Houston, CA",QVCRHW,VVOWKV,"(41,60)","(75,000,250000)",BWTPEW,22*************9,###2,GUTIBM
1859,4478,ds*****t,Emily Miller,M,"275 26 Rd, 500-2092",la*********z@hotmail.com,67173,"Philadelphia, FL",MMXVTU,ZXWJXG,"(41,60)","(25000,50000)",KCUOPI,18************2,###7,DRCLYB
2486,4477,he*********e,Robert Davis,F,"579 31 Rd, 900-4529",zm***h@hotmail.com,61327,"San Jose, CA",ORCLMV,HQSJCJ,"(41,60)","(75,000,250000)",RCMTBS,50*********3,###6,VFHYHU
2645,4476,sh*****6,Andrew Allen,F,"463 61 Ave, 400-8615",li*******n@gmail.com,45705,"New York, TX",GPNCRK,DYPJMP,"(26,40)","(75,000,250000)",KCUOPI,46*************9,####5,GLRPDO
3114,4475,ja*****0,John Walker,F,"423 46 St, 600-2719",ba**********p@yahoo.com,76108,"Los Angeles, CA",LDCGNM,MYGQCN,"(60,65)","(75,000,250000)",KCUOPI,35*************2,###0,JWLPXS
4229,4474,he*************m,Brian Walker,F,"240 94  Blvd, 600-2525",ro*****5@hotmail.com,68273,"Chicago, NY",DHNPGL,YNSEOW,"(19,25)","(75,000,250000)",MAOKIJ,42**********5,###1,PHSPXU
4461,4473,je***********a,Lisa Williams,F,"761 60 Rd, 600-4962",pv*******e@gmail.com,66541,"Dallas, CA",HXODXP,LRXKDP,"(26,40)","(75,000,250000)",MFZRLP,43*************2,###6,NVQATB
5384,4472,xt****r,John Miller,F,"418 54 Ln, 700-5146",wi************e@yahoo.com,67400,"Dallas, GA",PKFQKL,ETBTLB,"(19,25)","(75,000,250000)",MAOKIJ,48****************1,###8,MVXISO
5467,4471,ca****3,Robert Hernandez,M,"855 27 St, 400-1072",fe*******7@hotmail.com,63249,"New York, CA",PVMNBL,KOUINN,"(41,60)","(50000,75000)",BWTPEW,43****************8,###7,JWFUSD
6127,4470,xh****s,Amanda Walker,M,"319 62 Rd, 500-5991",li******2@gmail.com,59873,"San Jose, GA",YISCEV,MYGQCN,"(41,60)","(50000,75000)",MFZRLP,23*************1,###7,EFEUAT
6284,4469,ad******c,Mary Brown,F,"561 46 St, 100-1581",mm******l@hotmail.com,47805,"San Antonio, TX",WDCOZC,FQTGXB,"(19,25)","(75,000,250000)",UEJEZN,49**********7,###1,ONXWXR
6800,4468,eg****a,Jane Walker,F,"350 23 Ave, 900-9859",ma*********l@hotmail.com,62782,"Chicago, FL",RMVKCR,KKEREL,"(60,65)","(75,000,250000)",KVRJWO,44**********9,###9,FHLAJR
7455,4467,ja******g,Jane Williams,M,"285 94 St, 600-7528",el********4@yahoo.com,54795,"Houston, IL",FJCWBV,PJHXJY,"(26,40)","(75,000,250000)",GUYUNS,30***********7,###8,XNCTNG
241,4465,pt****s,Sarah Allen,M,"852 63 Ln, 300-1055",de*********z@yahoo.com,56055,"Dallas, GA",WYXGQV,UDLRXX,"(26,40)","(75,000,250000)",GUYUNS,37************2,###6,UVCWON
289,4464,je******3,Daniel Young,M,"199 20 St, 800-7660",li*******s@yahoo.com,77175,"Chicago, FL",PIOYDJ,UJWUNI,"(19,25)","(75,000,250000)",MFZRLP,35*************2,##8,BWSSMA
3452,4463,bb****s,Jessica Williams,M,"344 44 St, 300-3176",vi************s@yahoo.com,59754,"San Antonio, NY",LIILYY,YIFEHV,"(41,60)","(25000,50000)",GUYUNS,35*************4,###3,UVCWON
3813,4462,mi******y,Joseph Garcia,M,"542 33  Blvd, 700-7135",da*********t@hotmail.com,76292,"San Diego, NY",EWLODQ,CFSOVV,"(26,40)","(75,000,250000)",WFTMDV,34************0,###9,KMKNOB
4758,4461,jo******s,Emily Moore,M,"521 45 Ave, 900-7738",ca************r@yahoo.com,57617,"San Jose, IL",PUCWXO,IEMILK,"(41,60)","(75,000,250000)",KCUOPI,45**********7,###8,UVCWON
6407,4460,ga***4,Michael Wilson,F,"897 56 St, 100-7307",el*************s@hotmail.com,61485,"Dallas, PA",LXISJK,KFNJUS,"(26,40)","(50000,75000)",YMXPWJ,40*************9,###8,ZMWHIL
8109,4459,kr*************l,Amanda Johnson,F,"768 67  Blvd, 400-4335",fo*********y@hotmail.com,77375,"Los Angeles, FL",XYBOUM,NDREPY,"(41,60)","(75,000,250000)",WFTMDV,35*************4,###5,TJFCWY
8305,4458,va*********y,Lisa Jones,M,"956 53  Blvd, 700-5270",ts******z@yahoo.com,70731,"San Diego, GA",BOUDRH,UJWUNI,"(41,60)","(75,000,250000)",KVRJWO,60*************2,###8,UPECFD
9076,4457,ja**********s,John Brown,F,"265 29 Rd, 600-3395",wi***************n@gmail.com,72420,"San Jose, GA",XJXHQJ,TKMMSL,"(41,60)","(75,000,250000)",MAOKIJ,46*************1,###1,YWAPWM
9922,4456,me******8,Lisa Johnson,F,"982 60 Ave, 900-9493",ed****7@hotmail.com,43343,"Los Angeles, IL",LJIQOQ,KFNJUS,"(41,60)","(75,000,250000)",WFTMDV,26*************5,###3,WRDVMN
1209,4454,pa*********s,Brian Lewis,F,"372 21  Blvd, 400-7107",dy*******s@hotmail.com,82930,"Chicago, CA",PMHEMV,DLMTCY,"(26,40)","(75,000,250000)",BWTPEW,35*************6,###7,RPPVSL
1288,4453,ri**********n,Michael Jones,M,"730 13 Ln, 200-8995",ho******n@gmail.com,76600,"Chicago, VA",DVGETD,DLXJAP,"(60,65)","(50000,75000)",GUYUNS,50*********7,###1,ONXWXR
2383,4452,zm*****s,Michael Davis,M,"274 77 Rd, 800-1908",br*****3@gmail.com,58205,"San Antonio, NC",KHIXDH,VNIRCW,"(19,25)","(75,000,250000)",BWTPEW,18************6,###2,CXMQCB
2469,4451,nm****y,Daniel Walker,F,"632 11 Rd, 300-3451",er***1@hotmail.com,50696,"San Jose, GA",UOOQND,NNQEXL,"(41,60)","(75,000,250000)",GUYUNS,30***********0,###6,VFRPKC
3537,4450,ov****z,Elizabeth Rodriguez,M,"694 98 Rd, 400-7389",ta********e@yahoo.com,81031,"New York, CA",FHFFXB,EIQJRA,"(41,60)","(75,000,250000)",MAOKIJ,49****************6,###8,BZMXMJ
4148,4449,sh*********y,Andrew Hernandez,F,"335 5 Ave, 800-4821",ka*******g@yahoo.com,43467,"New York, TX",RNPKYJ,IEMILK,"(41,60)","(75,000,250000)",MFZRLP,35*************4,###6,RXSLTY
6751,4448,cr********w,Emily Rodriguez,F,"807 59 Rd, 400-1138",je******9@hotmail.com,49726,"Dallas, VA",BYSEYH,NQSNSM,"(26,40)","(75,000,250000)",GUYUNS,21************5,###1,HGSHLX
9450,4447,co*********a,Andrew Clark,F,"643 90  Blvd, 100-2821",ch**********7@yahoo.com,43711,"New York, OH",FFIQRE,FNVQVC,"(26,40)","(75,000,250000)",MFZRLP,67*********7,##7,CWDTUC
9492,4446,ba**********a,David King,M,"917 27 Rd, 500-6818",jo********l@yahoo.com,50030,"Philadelphia, NC",BCQOCB,FFVBES,"(26,40)","(75,000,250000)",MFZRLP,58*********4,###3,FLGNYQ
850,4444,ke*******e,Michael Hernandez,M,"160 62 Rd, 100-2110",jo************y@yahoo.com,57089,"Dallas, IL",UWEXQN,VSXZTU,"(41,60)","(75,000,250000)",KVRJWO,34************5,###6,BGLPAQ
1382,4443,am*****0,Robert Rodriguez,F,"640 48 St, 600-3848",hu***********l@gmail.com,73493,"Phoenix, FL",EEOBIB,YFHSKH,"(60,65)","(25000,50000)",GUYUNS,60*************7,###6,PNTUOK
4837,4442,ja*********6,Mary Young,F,"522 51 Rd, 800-5500",nh***y@gmail.com,77095,"San Antonio, NC",OJDRUK,UNWFHT,"(41,60)","(75,000,250000)",KCUOPI,30***********3,###1,CIHWVB
5196,4441,at****r,Ashley Wilson,F,"176 61 Rd, 900-9637",gc******o@yahoo.com,78762,"Philadelphia, FL",RIIBFW,RZIWMN,"(41,60)","(75,000,250000)",KCUOPI,48*************5,###3,BSIYYL
5365,4440,zg******o,Andrew Miller,F,"207 65 Rd, 500-3909",aa**********s@gmail.com,55132,"Los Angeles, CA",YMPRRF,YJOQPZ,"(26,40)","(75,000,250000)",KCUOPI,35*************0,###6,CIHWVB
7196,4439,ro**********e,William King,M,"457 97 Rd, 400-7772",wi**********n@yahoo.com,47845,"Philadelphia, NC",YLLEOG,IEMILK,"(0,18)","(25000,50000)",KVRJWO,51*************0,###5,VKCRSK
7592,4438,go*******e,Mary Lewis,M,"930 97 Ln, 900-4284",hi*******w@gmail.com,61070,"Chicago, IL",QZIVTZ,ENBBCM,"(26,40)","(75,000,250000)",GUYUNS,22*************8,###9,RVUNKZ
8253,4437,sa********s,Emily Allen,F,"215 67 Ln, 800-1803",st*****3@yahoo.com,60576,"Dallas, IL",NFRTCV,NKIWAA,"(41,60)","(0,25000)",GUYUNS,46*************1,###1,UVJQTY
9817,4436,br**********r,Lisa Williams,F,"152 97 St, 100-2057",je******3@hotmail.com,43421,"San Antonio, IL",BAPBXS,EMOLMI,"(19,25)","(50000,75000)",KVRJWO,30***********2,###9,NVQATB
700,4434,ka*****y,Michael Wilson,F,"169 58 St, 400-6291",db***n@hotmail.com,78632,"San Diego, TX",ZEHJWM,KDJDRS,"(26,40)","(75,000,250000)",GUYUNS,53*************6,###2,ONXWXR
763,4433,mc******c,Robert Miller,M,"304 49  Blvd, 400-5658",ma*****7@yahoo.com,73409,"San Diego, GA",FMDCYW,BTYLOW,"(26,40)","(75,000,250000)",GUYUNS,43*************9,###6,YVFFHF
1501,4432,te*****7,Jessica Hernandez,F,"846 21 St, 200-6551",ja****0@gmail.com,54009,"Los Angeles, PA",SXSFRG,QKKEVO,"(41,60)","(75,000,250000)",WFTMDV,44*************6,###4,CWDTUC
4445,4431,nw*******n,John Rodriguez,M,"553 9  Blvd, 200-8239",ki*******9@yahoo.com,65277,"San Diego, NC",ZKNGQK,MXQYCV,"(41,60)","(75,000,250000)",KVRJWO,48*************0,###0,YWAPWM
4713,4430,do*****0,Robert Johnson,F,"198 21 St, 100-5779",ro********y@gmail.com,70761,"Los Angeles, NY",JCULNW,KISBDZ,"(19,25)","(75,000,250000)",UEJEZN,60*************1,###7,DRCLYB
8706,4429,om******z,Robert Allen,M,"541 100 Rd, 500-3401",me*******0@gmail.com,44871,"San Antonio, VA",DJXRWO,ZQKDEY,"(41,60)","(75,000,250000)",KCUOPI,40*************4,###1,SYUICW
8884,4428,st*********e,William Wilson,M,"291 85 St, 100-3555",wh******y@hotmail.com,57185,"Dallas, NC",CJMAYZ,QNHHFX,"(19,25)","(75,000,250000)",MAOKIJ,47*************5,###2,VNSZTG
8987,4427,ga*********e,Ashley Garcia,F,"877 81 Ave, 300-4222",su*******y@hotmail.com,77190,"Philadelphia, FL",TEWRVB,HFFOWP,"(19,25)","(75,000,250000)",MFZRLP,21************1,##4,JKOMSC
9927,4426,zc*********n,Jane King,F,"864 12 Rd, 200-9947",li*********n@yahoo.com,81975,"San Jose, IL",ELVZCU,KPBBXV,"(19,25)","(75,000,250000)",BWTPEW,49*************5,###1,FLGNYQ
2717,4424,jh*******z,Mary Wilson,F,"327 88  Blvd, 500-1787",pa******0@yahoo.com,58265,"New York, FL",NQZRFR,YRYWJY,"(26,40)","(75,000,250000)",GUYUNS,42****************5,###9,VKCRSK
4844,4423,de********e,Lisa Allen,F,"563 70 Ln, 200-7957",is***e@yahoo.com,70290,"San Antonio, TX",NNRGZP,YBJUSK,"(41,60)","(75,000,250000)",RCMTBS,37************0,###6,NVQATB
7883,4422,ja****3,Kevin Clark,M,"791 93 Ln, 700-6490",al*****6@gmail.com,73351,"Houston, NC",TEHCHV,QLTJOX,"(19,25)","(75,000,250000)",UEJEZN,40****************4,###0,IJPJPB
9181,4421,te**********r,Mary Miller,F,"183 75  Blvd, 200-2825",xm*****s@hotmail.com,80595,"Chicago, TX",DJQTEN,PSAVFS,"(60,65)","(75,000,250000)",GUYUNS,40*************9,###8,VZYSJH
9855,4420,ad*********d,Andrew Moore,M,"982 59 Rd, 300-5896",ri******5@yahoo.com,60701,"San Diego, NC",BCEKUG,YGZSLY,"(26,40)","(75,000,250000)",UEJEZN,37************8,###0,XNCTNG
604,4418,cl*********e,Elizabeth Rodriguez,M,"233 13 St, 600-9292",jo*********n@gmail.com,80170,"Chicago, VA",BQEMCO,EJIYDC,"(26,40)","(75,000,250000)",MAOKIJ,37************7,###8,VRHVMH
2097,4417,se******e,Robert Young,M,"789 95 Ave, 200-7853",wi************h@gmail.com,77761,"New York, VA",XSBEKS,DZLOLX,"(41,60)","(25000,50000)",RCMTBS,47****************1,###5,CVZHWA
2489,4416,da********n,Jessica Clark,F,"798 64 St, 700-4001",pa*************n@yahoo.com,45698,"San Antonio, OH",LXORFL,FDFWHY,"(19,25)","(75,000,250000)",WFTMDV,48*************9,###9,MYNCSZ
2936,4415,ch******9,Lisa Hernandez,M,"767 14 Rd, 400-4692",iw***e@yahoo.com,68899,"Los Angeles, FL",XTLVYX,RPBUBY,"(0,18)","(75,000,250000)",MAOKIJ,35*************2,###2,YYRDUZ
2976,4414,ti***8,Sarah Miller,M,"720 70 St, 900-5045",vi*******3@gmail.com,50816,"San Jose, GA",HUMKXE,SVSEPO,"(60,65)","(75,000,250000)",GUYUNS,35*************9,###2,WRDVMN
4874,4413,cl***********t,David Johnson,F,"758 54 Ln, 700-5462",ju***4@yahoo.com,72708,"New York, OH",CVHRDM,IGUZGG,"(41,60)","(75,000,250000)",KCUOPI,60*************9,###0,PTCBHD
4989,4412,bo****4,Jane Walker,M,"297 14  Blvd, 800-6096",ei*****4@hotmail.com,57774,"Phoenix, GA",KJVZXE,JLHLES,"(19,25)","(75,000,250000)",UEJEZN,43*************0,###3,OXQHXB
572,4410,ma********n,Elizabeth Young,M,"846 98  Blvd, 500-8590",kg***n@gmail.com,61229,"Chicago, PA",QEAYUT,UFGEGW,"(41,60)","(75,000,250000)",YMXPWJ,35*************6,###2,GSDNFC
1951,4409,tr*****4,Amanda Williams,F,"236 15 Ave, 700-1794",li********n@yahoo.com,53423,"Los Angeles, TX",IPYMQK,UPWTVJ,"(41,60)","(75,000,250000)",WFTMDV,60********2,###8,PPZTTX
